id,mid,weibo_created_at,source,region,is_edited,reposts,comments,attitudes,weibo_text,ats,topics,icons,supers,locations,photos,other_links
4844523160604600,4844523160604600,Thu Dec 08 21:56:31 +0800 2022,,发布于 重庆,False,1000000,1000000,1266805,在城市的变迁里，我扮演着，我自己。《2Sides》——Chapter.0522《崽儿/Boy in the city》Another side photo collection.#TFFamily 2Sides# ,[],['#TFFamily 2Sides#'],[],[],[],[],[]
5073211288979601,5073211288979601,Fri Aug 30 23:21:30 +0800 2024,,发布于 北京,True,443138,66597,131369,Get busy living or get busy dying #加点zuo料# ,[],['#加点zuo料#'],[],[],[],[],[]
5071787800923086,5071787800923086,Tue Aug 27 01:05:04 +0800 2024,明星动态,,False,1000000,403669,553328, ,[],[],[],[],[],[],[]
5071628931957237,5071628931957237,Mon Aug 26 14:33:46 +0800 2024,,发布于 马来西亚,False,1000000,87799,185014,「勋章」｜黑夜蔓延着滚烫，孤勇荒唐、肆意张扬地去迎接破晓天光，锋利的荆棘刺破了无人问津的背影，每个创口都是成长与意外对勇敢少年的奖赏，一路风雨兼程，荆棘会成利刃。以TF家族-左航之名，奔赴最终的战场#加点zuo料##TF三代登陆时刻演唱会# ,[],"['#加点zuo料#', '#TF三代登陆时刻演唱会#']",[],[],[],[],[]
5071625748219871,5071625748219871,Mon Aug 26 14:21:07 +0800 2024,,发布于 马来西亚,False,1000000,79566,272616,见面#加点zuo料# ,[],['#加点zuo料#'],['[赞]'],[],[],[],[]
5068406437188267,5068406437188267,Sat Aug 17 17:08:44 +0800 2024,,发布于 北京,False,1000000,177876,223199,四公这一棒 努力走下去#登陆日四公舞台##加点zuo料##TF三代登陆日# ,[],"['#登陆日四公舞台#', '#加点zuo料#', '#TF三代登陆日#']",['[赞]'],[],[],[],[]
5067282470144917,5067282470144917,Wed Aug 14 14:42:29 +0800 2024,,发布于 北京,False,1000000,171304,268514,做这个的朋友们好强#加点zuo料# ,[],['#加点zuo料#'],['[赞]'],[],[],[],[]
5067226510789191,5067226510789191,Wed Aug 14 11:00:07 +0800 2024,互动集卡,,False,1000000,220597,172758, #加点zuo料# ,[],['#加点zuo料#'],['[并不简单]'],[],[],[],[]
5066581050660035,5066581050660035,Mon Aug 12 16:15:18 +0800 2024,微博视频号,发布于 北京,False,1000000,107077,155012,登陆日三公舞台《明天地球要爆炸》左航个人直拍#登陆日三公直拍##加点zuo料##TF三代登陆日# TF家族-左航的微博视频 ,[],"['#登陆日三公直拍#', '#加点zuo料#', '#TF三代登陆日#']",[],[],[],[],[]
5066536718439432,5066536718439432,Mon Aug 12 13:19:08 +0800 2024,,发布于 北京,False,1000000,99724,168250,结束了三公，这场长跑也算过大半了，在接下来的阶段，大家一起努力，再卯足劲，加油冲刺！#登陆日三公舞台##加点zuo料##TF三代登陆日# ,[],"['#登陆日三公舞台#', '#加点zuo料#', '#TF三代登陆日#']",[],[],[],[],[]
5065963942712635,5065963942712635,Sat Aug 10 23:23:08 +0800 2024,,发布于 北京,False,1000000,141536,235051,在三班那会应该就想好考驾照的左必成功#加点zuo料##TF三代登陆日# ,[],"['#加点zuo料#', '#TF三代登陆日#']",['[并不简单]'],[],[],[],[]
5065781479475332,5065781479475332,Sat Aug 10 11:18:05 +0800 2024,,发布于 北京,False,1000000,68785,152956,引力漫游#TF三代新歌明天地球要爆炸##加点zuo料# ,[],"['#TF三代新歌明天地球要爆炸#', '#加点zuo料#']",[],[],[],[],[]
5065765376233539,5065765376233539,Sat Aug 10 10:14:06 +0800 2024,,发布于 北京,False,1000000,35493,97713,I'm all set.#TF三代新歌明天地球要爆炸#,[],['#TF三代新歌明天地球要爆炸#'],[],[],[],[],[]
5064841121239109,5064841121239109,Wed Aug 07 21:01:26 +0800 2024,微博视频号,发布于 北京,False,1000000,157760,208296,新耳返分享#加点zuo料# TF家族-左航的微博视频 ,[],['#加点zuo料#'],['[赞]'],[],[],[],[]
