id,mid,weibo_created_at,source,region,is_edited,reposts,comments,attitudes,weibo_text,ats,topics,icons,supers,locations,photos,other_links
4844472199810850,4844472199810850,Thu Dec 08 18:34:01 +0800 2022,,发布于 重庆,False,1000000,1000000,1147217,我的这一次“不一样”，一次简单的散步。《2Sides》——Chapter.0203《异乡人/You’ll never know me》Another side photo collection.#TFFamily 2Sides# ,[],['#TFFamily 2Sides#'],[],[],[],[],[]
4844456908689527,4844456908689527,Thu Dec 08 17:33:15 +0800 2022,,发布于 重庆,False,1000000,1000000,1092733,永远无法触碰的距离与身处城市之中的“异乡之感”。《2Sides》——Chapter.0203《异乡人/You’ll never know me》One side photo collection.#TFFamily 2Sides# ,[],['#TFFamily 2Sides#'],[],[],[],[],[]
5073198809613137,5073198809613137,Fri Aug 30 22:31:54 +0800 2024,,发布于 江苏,False,1000000,99070,178286,半年没骑车了！终于“小红”“小蓝”集合了！！！ 🚴🚴🚴#今天Jer个样# ,[],['#今天Jer个样#'],[],[],[],[],[]
5071790067680727,5071790067680727,Tue Aug 27 01:14:04 +0800 2024,明星动态,,False,1000000,914880,625659, ,[],[],[],[],[],[],[]
5071628718047908,5071628718047908,Mon Aug 26 14:32:55 +0800 2024,,发布于 马来西亚,False,1000000,141721,251975,「勋章」｜黑夜蔓延着滚烫，孤勇荒唐、肆意张扬地去迎接破晓天光，锋利的荆棘刺破了无人问津的背影，每个创口都是成长与意外对勇敢少年的奖赏，一路风雨兼程，荆棘会成利刃。以TF家族-张极之名，奔赴最终的战场#今天Jer个样##TF三代登陆时刻演唱会# ,[],"['#今天Jer个样#', '#TF三代登陆时刻演唱会#']",[],[],[],[],[]
5068792113139002,5068792113139002,Sun Aug 18 18:41:16 +0800 2024,,发布于 北京,False,1000000,1000000,504525,百变啵啵#今天Jer个样#  啵啵ver.2.0 ,[],['#今天Jer个样#'],[],[],[],[],[]
5068406162197526,5068406162197526,Sat Aug 17 17:07:38 +0800 2024,,发布于 北京,False,1000000,529054,239513,放下紧张 享受挑战 ☁️#登陆日四公舞台##今天Jer个样##TF三代登陆日# ,[],"['#登陆日四公舞台#', '#今天Jer个样#', '#TF三代登陆日#']",[],[],[],[],[]
5067411401212356,5067411401212356,Wed Aug 14 23:14:48 +0800 2024,,发布于 北京,False,1000000,1000000,649804,它好漂亮 🍊#今天Jer个样# ,[],['#今天Jer个样#'],['[嘻嘻]'],[],[],[],[]
5067327716725045,5067327716725045,Wed Aug 14 17:42:17 +0800 2024,,发布于 北京,False,1000000,227798,224907,"""If I could hit the groundThen I'd be touching downIf only I could hit the ground""#今天Jer个样# ",[],['#今天Jer个样#'],[],[],[],[],[]
5067226502139450,5067226502139450,Wed Aug 14 11:00:05 +0800 2024,互动集卡,,False,1000000,246918,166747, #今天Jer个样# ,[],['#今天Jer个样#'],['[浮云]'],[],[],[],[]
5066617434671509,5066617434671509,Mon Aug 12 18:39:52 +0800 2024,,发布于 北京,False,1000000,256553,276205,分享图片和视频 🎇#今天Jer个样# ,[],['#今天Jer个样#'],[],[],[],[],[]
5066579947558034,5066579947558034,Mon Aug 12 16:10:55 +0800 2024,微博视频号,发布于 北京,False,1000000,231410,126599,登陆日三公舞台《笼》张极个人直拍#登陆日三公直拍##今天Jer个样##TF三代登陆日# TF家族-张极的微博视频 ,[],"['#登陆日三公直拍#', '#今天Jer个样#', '#TF三代登陆日#']",[],[],[],[],[]
5066536180256839,5066536180256839,Mon Aug 12 13:17:00 +0800 2024,,发布于 北京,False,1000000,126069,160661,三公来了！很开心银赫老师东海老师能够来到《登陆日》！虽然说这次没有机会和导师合作但是呢也是非常开心在老师面前唱了老师们的歌曲《One more chance》！😁后面看到老师们的表演真的在感叹！太帅太强了吧！感觉这次公演确实有些残酷了也让我们心里都有一些波澜，最后因为没有拿到同行卡让我们三个 ...全文,[],[],[],[],[],[],[]
5065960711522960,5065960711522960,Sat Aug 10 23:10:17 +0800 2024,,发布于 北京,False,1000000,379043,303080,穿着大家选的校服和“张霸”重逢了 ☁️#今天Jer个样##TF三代登陆日# ,[],"['#今天Jer个样#', '#TF三代登陆日#']",[],[],[],[],[]
5065781350239181,5065781350239181,Sat Aug 10 11:17:34 +0800 2024,,发布于 北京,False,1000000,93593,158985,心变炙热#TF三代新歌明天地球要爆炸##今天Jer个样# ,[],"['#TF三代新歌明天地球要爆炸#', '#今天Jer个样#']",[],[],[],[],[]
5065765252763522,5065765252763522,Sat Aug 10 10:13:36 +0800 2024,,发布于 北京,False,1000000,27901,93540,在漫无边际的宇宙畅游 ☁️ #TF三代新歌明天地球要爆炸#,[],['#TF三代新歌明天地球要爆炸#'],[],[],[],[],[]
5064852545995987,5064852545995987,Wed Aug 07 21:46:50 +0800 2024,微博视频号,发布于 北京,False,1000000,617621,345995,沉浸式/差点逛到睡着的宜家之行 ☁️#今天Jer个样# Vlog ver. TF家族-张极的微博视频 ,[],['#今天Jer个样#'],[],[],[],[],[]
5063694385941192,5063694385941192,Sun Aug 04 17:04:43 +0800 2024,,发布于 北京,False,1000000,737177,1124485,奇迹极极校服Ver.#TF三代直播造型征集##今天Jer个样##TF三代登陆日# ,[],"['#TF三代直播造型征集#', '#今天Jer个样#', '#TF三代登陆日#']",['[嘻嘻]'],[],[],[],[]
5063336649293971,5063336649293971,Sat Aug 03 17:23:11 +0800 2024,,发布于 北京,False,1000000,208147,290008,新的一战就要开始！杰里米！在努力！😎#登陆日三公舞台##今天Jer个样##TF三代登陆日# ,[],"['#登陆日三公舞台#', '#今天Jer个样#', '#TF三代登陆日#']",[],[],[],[],[]
5062202866274131,5062202866274131,Wed Jul 31 14:17:57 +0800 2024,,发布于 北京,False,1000000,73754,129228,登陆#TF三代登陆时刻演唱会#,[],['#TF三代登陆时刻演唱会#'],[],[],[],[],[]
5061617351918083,5061617351918083,Mon Jul 29 23:31:20 +0800 2024,,发布于 北京,False,1000000,397370,228792,新鲜出炉的极极😎#今天Jer个样# 极极Ver. ,[],['#今天Jer个样#'],[],[],[],[],[]
5061602750239288,5061602750239288,Mon Jul 29 22:33:18 +0800 2024,,发布于 北京,False,1000000,93434,197323,新鲜出炉的啵啵😘#今天Jer个样# 啵啵ver. ,[],['#今天Jer个样#'],[],[],[],[],[]
5061488012432195,5061488012432195,Mon Jul 29 14:57:23 +0800 2024,微博视频号,发布于 北京,False,1000000,403789,335056,登陆日二公导师合作舞台《Stalker窥探者》张极个人直拍#登陆日二公直拍##今天Jer个样##TF三代登陆日# TF家族-张极的微博视频 ,[],"['#登陆日二公直拍#', '#今天Jer个样#', '#TF三代登陆日#']",[],[],[],[],[]
5061461076614239,5061461076614239,Mon Jul 29 13:10:21 +0800 2024,微博视频号,发布于 北京,False,1000000,472603,394710,登陆日二公《Play我呸》张极个人直拍#登陆日二公直拍##今天Jer个样##TF三代登陆日# TF家族-张极的微博视频 ,[],"['#登陆日二公直拍#', '#今天Jer个样#', '#TF三代登陆日#']",[],[],[],[],[]
5061103082538332,5061103082538332,Sun Jul 28 13:27:48 +0800 2024,,发布于 北京,False,1000000,182555,215991,二公结束了！因为有大家在，第二次公演已经没有第一次公演那么紧张了！先说团队舞台吧，感觉《Play我呸》还是可以更完美的，希望下次我能做的更好！然后就是合作舞台啦！首先非常感谢王霏霏老师能够选择我来参与表演这个合作舞台！这次舞台是一次新的尝试和一次不同的体验！因为我们以前从来没有过这样 ...全文,[],[],[],[],[],[],[]
5059805183476602,5059805183476602,Wed Jul 24 23:30:25 +0800 2024,登陆日超话,发布于 北京,False,1000000,389430,182984,登陆日 冷笑话是认真的 傍晚骑车吹风也是认真的 🍃#今天Jer个样##夏日青春派对##暑期超访大会# TF家族-张极的微博视频 ,[],"['#今天Jer个样#', '#夏日青春派对#', '#暑期超访大会#']",[],['登陆日'],[],[],[]
5059718969560916,5059718969560916,Wed Jul 24 17:47:50 +0800 2024,,发布于 北京,False,1000000,135841,208176,Summer in full swing！☀️☀️☀️#今天Jer个样# ,[],['#今天Jer个样#'],[],[],[],[],[]
5059324380449387,5059324380449387,Tue Jul 23 15:39:53 +0800 2024,,发布于 北京,False,1000000,93039,115768,TF,[],[],[],[],[],[],[]
5058630577034741,5058630577034741,Sun Jul 21 17:42:57 +0800 2024,,发布于 北京,False,1000000,582430,192245,今天直啵 #今天Jer个样##TF三代登陆日##暑期嘉年华# ,[],"['#今天Jer个样#', '#TF三代登陆日#', '#暑期嘉年华#']",['[doge]'],[],[],[],[]
5058263105671772,5058263105671772,Sat Jul 20 17:22:45 +0800 2024,,发布于 北京,False,1000000,219983,184976,带着轻松的心态 期待每一次登台😎#登陆日二公##今天Jer个样##TF三代登陆日# ,[],"['#登陆日二公#', '#今天Jer个样#', '#TF三代登陆日#']",[],[],[],[],[]
5057949124268685,5057949124268685,Fri Jul 19 20:35:06 +0800 2024,,发布于 北京,False,1000000,256059,276262,@ 公司 什么时候增加自行车比赛项目🚴😎#今天Jer个样# ,[],['#今天Jer个样#'],['[嘻嘻]'],[],[],[],[]
5056895033545394,5056895033545394,Tue Jul 16 22:46:31 +0800 2024,,发布于 江苏,False,1000000,484329,223199,熊猫和啵啵和我😆开心😎#今天Jer个样# ,[],['#今天Jer个样#'],[],[],[],[],[]
5056293704565448,5056293704565448,Mon Jul 15 06:57:03 +0800 2024,,发布于 浙江,False,1000000,197674,205909,杀青了！！！#今天Jer个样# ,[],['#今天Jer个样#'],[],[],[],[],[]
5056128575346942,5056128575346942,Sun Jul 14 20:00:53 +0800 2024,微博视频号,发布于 浙江,False,1000000,76230,104868,登陆日一公导师合作舞台《光年之外》张极直拍#今天Jer个样##TF三代登陆日##登陆日一公舞台#  TF家族-张极的微博视频 ,[],"['#今天Jer个样#', '#TF三代登陆日#', '#登陆日一公舞台#']",[],[],[],[],[]
