id,mid,weibo_created_at,source,region,is_edited,reposts,comments,attitudes,weibo_text,ats,topics,icons,supers,locations,photos,other_links
4844846478530051,4844846478530051,Fri Dec 09 19:21:16 +0800 2022,,发布于 重庆,False,1000000,1000000,1221744,接收到音乐，玩转了乐器。跳跃的节奏，止不住的摇滚。《2Sides》——Chapter.0430《孩子气/Childish》Another side photo collection. #TFFamily 2Sides# ,[],['#TFFamily 2Sides#'],[],[],[],[],[]
5073184753717083,5073184753717083,Fri Aug 30 21:36:03 +0800 2024,,发布于 黑龙江,True,1000000,155735,431914,p1防止朔哥窥屏p23回家和毛哥的屎真多一起玩了会p45我 #禹事不慌张# ,[],['#禹事不慌张#'],[],[],[],[],[]
5071790816629679,5071790816629679,Tue Aug 27 01:17:03 +0800 2024,明星动态,,False,1000000,1000000,517751, ,[],[],[],[],[],[],[]
5071628270829870,5071628270829870,Mon Aug 26 14:31:09 +0800 2024,,发布于 马来西亚,False,1000000,459343,477569,「勋章」｜黑夜蔓延着滚烫，孤勇荒唐、肆意张扬地去迎接破晓天光，锋利的荆棘刺破了无人问津的背影，每个创口都是成长与意外对勇敢少年的奖赏，一路风雨兼程，荆棘会成利刃。以TF家族-张泽禹之名，奔赴最终的战场#禹事不慌张##TF三代登陆时刻演唱会# ,[],"['#禹事不慌张#', '#TF三代登陆时刻演唱会#']",[],[],[],[],[]
5068406032958765,5068406032958765,Sat Aug 17 17:07:07 +0800 2024,,发布于 北京,False,1000000,1000000,733966,兄弟们 话不多说 拼这最后一把🖖🏽#登陆日四公舞台##禹事不慌张##TF三代登陆日# ,[],"['#登陆日四公舞台#', '#禹事不慌张#', '#TF三代登陆日#']",[],[],[],[],[]
5067226493752964,5067226493752964,Wed Aug 14 11:00:03 +0800 2024,互动集卡,,False,1000000,1000000,651455,👀 #禹事不慌张# ,[],['#禹事不慌张#'],[],[],[],[],[]
5066592498485957,5066592498485957,Mon Aug 12 17:00:47 +0800 2024,微博视频号,发布于 北京,False,1000000,1000000,768101,登陆日三公导师合作舞台<‘Bout you>张泽禹直拍#登陆日三公直拍##禹事不慌张##TF三代登陆日# TF家族-张泽禹的微博视频 ,[],"['#登陆日三公直拍#', '#禹事不慌张#', '#TF三代登陆日#']",[],[],[],[],[]
5066578629234638,5066578629234638,Mon Aug 12 16:05:40 +0800 2024,微博视频号,发布于 北京,False,1000000,1000000,897657,登陆日三公舞台《笼》张泽禹个人直拍#登陆日三公直拍##禹事不慌张##TF三代登陆日# TF家族-张泽禹的微博视频 ,[],"['#登陆日三公直拍#', '#禹事不慌张#', '#TF三代登陆日#']",[],[],[],[],[]
5066535855722402,5066535855722402,Mon Aug 12 13:15:42 +0800 2024,,发布于 北京,False,1000000,883362,1024011,三公结束了 马上就只剩最后一次公演 这次的赛制是真的出乎人意料 而且导致每个人的压力都很大 相对来说舞台准备的内容也更多 一开始要把AB part都学会 因为可能到上场前都还不知道要表演哪个part 然后在拿到直通卡之后可以说这个压力小了一点 但紧接着还有个问题就是这次一起上台的队友要怎么决定 直到 ...全文,[],[],[],[],[],[],[]
5066528514378642,5066528514378642,Mon Aug 12 12:46:32 +0800 2024,,发布于 北京,False,1000000,307633,825347,想拍个海边的日出照发现这个时间很巧哈哈哈哈哈#禹事不慌张# ,[],['#禹事不慌张#'],[],[],[],[],[]
5065953362316378,5065953362316378,Sat Aug 10 22:41:05 +0800 2024,,发布于 北京,False,1000000,537341,861432,回到夏天的三班👀一直是不会被烦恼困住的张郎#禹事不慌张##TF三代登陆日# ,[],"['#禹事不慌张#', '#TF三代登陆日#']",[],[],[],[],[]
5065781215232357,5065781215232357,Sat Aug 10 11:17:01 +0800 2024,,发布于 北京,False,1000000,97059,805308,静止时空#TF三代新歌明天地球要爆炸##禹事不慌张# ,[],"['#TF三代新歌明天地球要爆炸#', '#禹事不慌张#']",[],[],[],[],[]
5065765151577553,5065765151577553,Sat Aug 10 10:13:12 +0800 2024,,发布于 北京,False,1000000,40150,215525,#TF三代新歌明天地球要爆炸#那就一起去银河逛逛👀,[],['#TF三代新歌明天地球要爆炸#'],[],[],[],[],[]
5065191500548116,5065191500548116,Thu Aug 08 20:13:43 +0800 2024,,发布于 北京,False,1000000,874147,679966,小屎和老蔫儿#喵喵晒照大赛##禹事不慌张# ,[],"['#喵喵晒照大赛#', '#禹事不慌张#']","['[喵喵]', '[喵喵]']",[],[],[],[]
5063694255655194,5063694255655194,Sun Aug 04 17:04:12 +0800 2024,,发布于 北京,False,1000000,165467,1159066,来吧朋友们👀想看什么校服造型！#TF三代直播造型征集##禹事不慌张##TF三代登陆日# ,[],"['#TF三代直播造型征集#', '#禹事不慌张#', '#TF三代登陆日#']",[],[],[],[],[]
5063336502493887,5063336502493887,Sat Aug 03 17:22:37 +0800 2024,,发布于 北京,False,1000000,593294,1009262,还是那句 期待一下👀#登陆日三公舞台##禹事不慌张##TF三代登陆日# ,[],"['#登陆日三公舞台#', '#禹事不慌张#', '#TF三代登陆日#']",[],[],[],[],[]
5063333013882787,5063333013882787,Sat Aug 03 17:08:45 +0800 2024,,发布于 北京,False,1000000,1000000,1000693,更新！#禹事不慌张# ,[],['#禹事不慌张#'],[],[],[],[],[]
5062242272547890,5062242272547890,Wed Jul 31 16:54:32 +0800 2024,,发布于 北京,False,1000000,896206,1009369,我的下午茶时间#禹事不慌张# ,[],['#禹事不慌张#'],[],[],[],[],[]
5062202681984727,5062202681984727,Wed Jul 31 14:17:13 +0800 2024,,发布于 北京,False,1000000,54837,196633,三代#TF三代登陆时刻演唱会#,[],['#TF三代登陆时刻演唱会#'],[],[],[],[],[]
5061487806648975,5061487806648975,Mon Jul 29 14:56:34 +0800 2024,微博视频号,发布于 北京,False,1000000,250272,1013937,登陆日二公导师合作舞台《为明天写封信》张泽禹个人直拍#登陆日二公直拍##禹事不慌张##TF三代登陆日# TF家族-张泽禹的微博视频 ,[],"['#登陆日二公直拍#', '#禹事不慌张#', '#TF三代登陆日#']",[],[],[],[],[]
5061459911906392,5061459911906392,Mon Jul 29 13:05:43 +0800 2024,微博视频号,发布于 北京,False,1000000,194487,1020224,登陆日二公《不谓侠》张泽禹个人直拍#登陆日二公直拍##禹事不慌张##TF三代登陆日# TF家族-张泽禹的微博视频 ,[],"['#登陆日二公直拍#', '#禹事不慌张#', '#TF三代登陆日#']",[],[],[],[],[]
5061102270679541,5061102270679541,Sun Jul 28 13:24:35 +0800 2024,,发布于 北京,False,1000000,344265,998620,哈喽大家好！二公结束了不知道大家觉得怎么样 既来之则安之 感觉这句话就是我这场公演的座右铭了哈哈哈 虽说换到了其他的队伍 但是在这个只有我一个唱说唱 还要有比较长一段展示的节目里 把每个片段都演好才是第一目标 不过感觉运气有点不太好 准备节目期间都还好好的 演出那天突然发烧了好在 ...全文,[],[],['[笑cry]'],[],[],[],[]
5059804999979864,5059804999979864,Wed Jul 24 23:29:41 +0800 2024,登陆日超话,发布于 北京,False,1000000,350957,947042,登陆日 最近真是太热了啊 大家都去凉快的地方玩玩#禹事不慌张##夏日青春派对##暑期超访大会# TF家族-张泽禹的微博视频 ,[],"['#禹事不慌张#', '#夏日青春派对#', '#暑期超访大会#']",['[奥特曼]'],['登陆日'],[],[],[]
